               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.018991,             0.01485,            0.018208,             0.80818,             0.76406,             0.82989,              0.7229,            0.012693,           0.0061808,           0.0084731,           0.0053743,           0.0053743,           0.0053743
                  57,            0.018927,             0.01485,            0.018118,             0.80877,             0.76369,             0.83141,             0.72481,            0.012673,           0.0061763,           0.0084443,           0.0052505,           0.0052505,           0.0052505
                  58,            0.018882,            0.014774,            0.018032,             0.81132,             0.75921,             0.83211,             0.72582,            0.012673,           0.0061684,           0.0084208,           0.0051274,           0.0051274,           0.0051274
                  59,            0.018758,            0.014726,            0.017803,             0.81223,             0.76103,              0.8333,             0.72724,            0.012662,           0.0061595,           0.0084129,           0.0050052,           0.0050052,           0.0050052
                  60,            0.018772,            0.014694,            0.017799,             0.79969,             0.77276,             0.83402,             0.72811,            0.012635,           0.0061437,            0.008394,            0.004884,            0.004884,            0.004884
                  61,             0.01867,            0.014628,            0.017697,             0.80525,             0.77119,             0.83534,             0.72922,            0.012619,           0.0061361,           0.0084003,           0.0047639,           0.0047639,           0.0047639
                  62,            0.018618,             0.01456,            0.017546,             0.80057,             0.77948,             0.83549,             0.72975,            0.012622,           0.0061301,           0.0084116,            0.004645,            0.004645,            0.004645
                  63,            0.018597,            0.014527,            0.017389,             0.79824,             0.78212,              0.8372,             0.73115,             0.01261,           0.0061257,            0.008407,           0.0045275,           0.0045275,           0.0045275
                  64,            0.018494,            0.014522,            0.017331,             0.81036,             0.77276,              0.8388,             0.73291,            0.012613,           0.0061135,           0.0083627,           0.0044114,           0.0044114,           0.0044114
                  65,            0.018503,              0.0145,            0.017329,             0.81051,             0.77398,             0.83868,              0.7326,            0.012607,           0.0061078,           0.0082731,           0.0042969,           0.0042969,           0.0042969
                  66,            0.018441,            0.014408,            0.017027,             0.81198,             0.77011,             0.83831,             0.73202,            0.012611,           0.0061082,           0.0082008,            0.004184,            0.004184,            0.004184
                  67,            0.018393,            0.014404,            0.017042,             0.80465,             0.77701,             0.83801,              0.7327,            0.012611,           0.0061148,           0.0081662,            0.004073,            0.004073,            0.004073
                  68,            0.018255,            0.014341,            0.016899,             0.80023,             0.78098,             0.83897,             0.73308,            0.012584,           0.0061139,           0.0081738,           0.0039638,           0.0039638,           0.0039638
                  69,            0.018138,            0.014281,             0.01666,             0.80718,             0.77612,             0.84032,             0.73468,            0.012563,           0.0061037,           0.0081973,           0.0038567,           0.0038567,           0.0038567
                  70,            0.018137,            0.014238,            0.016584,             0.81763,             0.76896,             0.84056,              0.7347,            0.012538,           0.0060995,           0.0082152,           0.0037517,           0.0037517,           0.0037517
                  71,            0.018055,             0.01421,             0.01647,             0.81725,             0.76788,             0.84075,             0.73498,            0.012517,           0.0061045,           0.0082582,           0.0036489,           0.0036489,           0.0036489
                  72,            0.018083,            0.014223,            0.016471,             0.81329,             0.77427,             0.84064,             0.73527,            0.012497,           0.0060996,           0.0082717,           0.0035484,           0.0035484,           0.0035484
                  73,            0.018019,            0.014123,            0.016417,             0.81145,             0.77858,             0.84151,             0.73562,            0.012486,           0.0060925,           0.0083112,           0.0034503,           0.0034503,           0.0034503
                  74,            0.017861,            0.014085,            0.016061,             0.81515,             0.77442,             0.84169,             0.73575,            0.012503,           0.0060887,            0.008308,           0.0033548,           0.0033548,           0.0033548
                  75,            0.017832,            0.014018,             0.01602,             0.80707,             0.77795,             0.84148,             0.73595,            0.012507,           0.0060825,           0.0083194,           0.0032618,           0.0032618,           0.0032618
                  76,            0.017766,            0.013968,            0.015817,             0.80695,             0.78286,             0.84134,             0.73595,            0.012515,           0.0060768,           0.0083188,           0.0031716,           0.0031716,           0.0031716
                  77,            0.017702,            0.013917,            0.015667,             0.80012,             0.78608,             0.84072,             0.73561,            0.012523,           0.0060737,           0.0083112,           0.0030841,           0.0030841,           0.0030841
                  78,            0.017643,            0.013908,            0.015699,             0.80585,             0.78202,             0.84014,              0.7354,            0.012531,           0.0060709,           0.0083079,           0.0029996,           0.0029996,           0.0029996
                  79,            0.017538,             0.01383,            0.015405,             0.80916,             0.77949,             0.84011,             0.73555,            0.012515,           0.0060676,           0.0083278,           0.0029179,           0.0029179,           0.0029179
                  80,             0.01755,            0.013802,            0.015321,             0.81042,             0.77979,              0.8401,             0.73598,            0.012504,           0.0060718,            0.008392,           0.0028394,           0.0028394,           0.0028394
                  81,            0.017466,            0.013737,             0.01529,             0.79104,             0.79952,              0.8398,             0.73585,            0.012494,           0.0060745,           0.0083807,           0.0027639,           0.0027639,           0.0027639
                  82,            0.017443,             0.01371,            0.015208,             0.80799,             0.78354,                0.84,             0.73635,            0.012485,           0.0060787,           0.0083676,           0.0026917,           0.0026917,           0.0026917
                  83,            0.017368,            0.013691,            0.015086,             0.81219,             0.78082,             0.84015,             0.73657,            0.012472,           0.0060816,           0.0083693,           0.0026227,           0.0026227,           0.0026227
                  84,            0.017329,            0.013664,            0.014921,             0.81508,             0.77717,             0.83974,             0.73594,            0.012468,           0.0060842,           0.0084232,            0.002557,            0.002557,            0.002557
                  85,            0.017232,            0.013602,            0.014725,             0.81375,              0.7817,             0.83966,             0.73566,            0.012451,           0.0060839,           0.0084371,           0.0024948,           0.0024948,           0.0024948
                  86,             0.01721,            0.013561,            0.014697,             0.81087,             0.78473,             0.83977,             0.73556,            0.012448,            0.006082,           0.0084173,            0.002436,            0.002436,            0.002436
                  87,            0.017158,            0.013529,            0.014671,              0.8138,             0.78104,             0.83907,             0.73518,            0.012448,           0.0060815,           0.0083702,           0.0023807,           0.0023807,           0.0023807
                  88,            0.017095,             0.01352,            0.014549,             0.81399,             0.78338,             0.83935,             0.73539,            0.012448,           0.0060835,           0.0083818,            0.002329,            0.002329,            0.002329
                  89,            0.017115,            0.013514,            0.014359,             0.81326,             0.78569,             0.84009,             0.73551,            0.012456,           0.0060847,           0.0084508,           0.0022809,           0.0022809,           0.0022809
                  90,            0.017018,             0.01345,            0.014266,              0.8118,             0.78852,             0.83984,             0.73563,             0.01246,           0.0060829,           0.0084907,           0.0022365,           0.0022365,           0.0022365
                  91,             0.01698,            0.013396,             0.01425,             0.81614,             0.78465,             0.83989,             0.73569,            0.012489,           0.0060852,           0.0085292,           0.0021958,           0.0021958,           0.0021958
                  92,            0.016981,            0.013412,            0.014248,             0.79902,             0.79938,              0.8385,             0.73389,             0.01253,           0.0060865,           0.0084825,           0.0021588,           0.0021588,           0.0021588
                  93,            0.016874,             0.01335,            0.013974,               0.811,             0.78926,             0.84004,             0.73568,            0.012544,           0.0060954,           0.0085008,           0.0021257,           0.0021257,           0.0021257
                  94,            0.016848,            0.013324,            0.013973,             0.81102,             0.78795,              0.8404,             0.73629,            0.012552,           0.0061007,           0.0085821,           0.0020963,           0.0020963,           0.0020963
                  95,            0.016874,            0.013311,            0.013941,              0.8189,             0.78263,             0.84096,              0.7363,            0.012566,           0.0061068,            0.008611,           0.0020709,           0.0020709,           0.0020709
                  96,            0.016851,            0.013337,            0.013846,             0.82464,             0.78061,             0.84285,             0.73813,            0.012556,           0.0061065,             0.00861,           0.0020492,           0.0020492,           0.0020492
                  97,            0.016786,            0.013303,            0.013838,             0.81986,             0.78247,             0.84299,             0.73845,            0.012544,           0.0061049,           0.0086366,           0.0020315,           0.0020315,           0.0020315
                  98,            0.016818,            0.013317,            0.013787,             0.80679,             0.79268,             0.84126,             0.73711,            0.012531,           0.0060986,           0.0087025,           0.0020178,           0.0020178,           0.0020178
                  99,            0.016754,            0.013275,            0.013687,             0.80464,             0.79372,             0.84057,             0.73708,             0.01253,           0.0061011,            0.008761,           0.0020079,           0.0020079,           0.0020079
